№,Название,Отрасль,Краткое описание специфики деятельности,Дата создания,Контактная информация,Офисы (адрес/тел.),web-контакты (сайт/блог/твиттер),Учредители,Кол-во сотрудников,Управляющая команда (ФИО руководителей),Финансовые показатели за прошлые периоды (чистая прибыль),Финансирование в компанию (кто/когда/сколько) - этапы и суммы инвестиций,Поглощения других компаний (кого/когда/сколько),Инвестиции от имени компании в другие проекты (куда/когда/сколько),Exit (IPO) (где/когда/объявленная стоимость/капитализация),Котировки акций,Куплена (кем/когда/сколько),Созданные продукты,Поставщики услуг,Конкуренты,Опыт взаимодействия с институтами развития,"Участие в конкурсах, премиях",Участие в акселераторах,Потребность в инвестициях (в диапазонах),
1,TimePad,ИКТ,"Компания предоставляет организаторам услуги по привлечению участников и приему платежей через Интернет, а также технологические решения, которые упрощают подготовку событий и взаимодействие с аудиторией",August 2008,"Контактное лицо:
Людмила Павлова
lewdmila@timepad.ru 
+7 (495) 761-56-48","Юридический адрес:  119049, г. Москва, просп. Ленинский, д. 4, стр. 1А","Сайт: http://welcome.timepad.ru/
Блог: http://timepad.ru/about/blog/
Twitter: http://twitter.com/timepadru
Facebook: http://www.facebook.com/TimePad
Вконтакте: http://vk.com/timepadru","Константинов Андрей Владимирович
Устюжанина Дарья Дмитриевна
Киселев Артем Борисович
Павлова Людмила Андреевна",10,"Дарья Устюжанина
Артем Киселев
Людмила Павлова",Нет данных,"Февраль 2012, инвестор - Рамблер-Фонд, сумма сделки: 7,5 млн. рублей*",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,Инструмент для создания событий и взаимодействия с аудиторией в сети Интернет,,"Qrickets, JustParty","Победитель программы ""СТАРТ 09"" ФСР МП НТС", Обладатель премии «Стартап года» - 2010 в номинации «Лучший продукт»,Выпускник бизнес-инкубатора HSE Inc.,Инвестиции не привлекаются,
2,Workle,ИКТ,Сервис для онлайн-работы,January 2011,Электронная почта: info@workle.net,"Головной офис:
115093, г. Москва, Партийный переулок, дом 1, корпус 46
Дополнительный офис: Москва, ул. Дубининская, д. 80
Телефон: 8-800-333-20-28 (по России)
 +7 (499) 703-20-28 (для Москвы и Московской области)","Сайт: http://www.workle.ru/
Твиттер: https://twitter.com/workle_ru
Фейсбук: http://www.facebook.com/pages/Workle-connect-your-workplace/166584223366523
Вконтакте: http://vk.com/workle_ru
ЖЖ: http://workle.livejournal.com/
Блог: http://iworkle.ru/","Горбунов Владимир Викторович
ООО ""Электротехническая корпорация КАМА""
ООО ""Статус""
Юсупов Шерзод Искандарович
Горбунов Виктор Васильевич
Пономаренко Сергей Андреевич",50,"Владимир Горбунов - генеральный директор, основатель проекта
Шерзод Юсупов - член Совета директоров
Сергей Пономаренко - технический директор
Дмитрий Чурилов - директор по маркетингу",Нет данных,"Инвестиционная группа ""Синергия"", Горбунов Виктор Васильевич, Юсупов Шерзод Искандарович; 75 млн. рублей; ноябрь 2011
Получен грант Фонда ""Сколково"" - 27.46 млн. рублей (софинансирование - 27.46 млн. рублей)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"Workle - сервис удаленной работы в сфере туризма, страхования и банковской отрасли",,"HeadHunter, SuperJob, Работа.ру (только поиск работы)","Резидент Сколково
Получатель гранта Фонда ""Сколково""","Лауреат премии SaaS-решений ""Облака-2012"" (номинация «Облачный стартап года»)
Звание «Привлекательный работодатель – 2012» (присуждается Superjob.ru)",Не принимали,Инвестиции не привлекаются,
3,А5.ru,ИКТ,A5.ru представляет собой универсальную платформу по созданию флеш-сайтов,October 2007,Электронная почта: support@a5.ru,"Юридический адрес: 107076, г. Москва, пер. Колодезный, д. 14 
Фактический адрес: Россия, Москва, улица Малая Дмитровка, дом 25, строение 3
Телефон: 7 (495) 650-09-72","Сайт: http://www.a5.ru/
Вконтакте: http://vk.com/a5sitebuilder",Фельдман Александр Олегович,Нет данных,Виталий Кухаренко - генеральный директор,Нет данных,"Бизнес-ангел, 4 млн. рублей, конец 2010",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,A5.ru - конструктор флеш-сайтов,,Ucoz.ru,"Победитель программы ""СТАРТ 10"" ФСР МП НТС",Участник конкурса Web Ready 2011,Резидент бизнес-инкубатора НИУ ВШЭ,Инвестиции не привлекаются,
4,Pirate Pay,ИКТ,"PiratePay - это система противодействия распространению нелегального контента в пиринговых сетях, основанных на протоколе Bittorrent",September 2009,Электронная почта: mailbox@piratepay.net,"Юридический адрес: 614000, г. Пермь, ул. Монастырская, д. 12а
Телефон: +7 (342) 202-12-42","Сайт: http://piratepay.ru/
Блог: http://piratepay.ru/ru/blog
Фейсбук: http://www.facebook.com/piratepay
Твиттер: https://twitter.com/pirate_pay","ООО ""Инвестиции и инновации""
Клименко Алексей Константинович
Клименко Андрей Константинович
Шуваев Дмитрий Александрович",3,"Андрей Клименко - генеральный директор
Алексей Клименко - технический директор, архитектор системы
Дмитрий Шуваев - директор по развитию",Нет данных,"Посевной фонд Microsoft, 3 млн. рублей, март 2011",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"PiratePay - это система противодействия распространению нелегального контента в пиринговых сетях, основанных на протоколе Bittorrent",,"Antipirate.ru, Webkontrol.ru","Победитель программы ""СТАРТ 11"" ФСР МП НТС
Резидент Сколково","Финалист премии ""Стартап года - 2011"" (Номинация ""Глобальный стартап"")
Red Herring Europe Top 100 - финалист (2011)
Участие в конкурсе Фонда ""Сколково"" и телеканала ""Дождь""
БИТ-2010 - финалист
Конкурс НИУ ВШЭ - грант
Участник Конкурса технологических стартапов Фонда CRDF в номинации «Лучшая бизнес-модель» - Грант на экспертизу проекта в Кремниевой долине",Резидент бизнес-инкубатора НИУ ВШЭ-Пермь «Навигатор возможностей»,Потребность в инвестициях: 16 млн. рублей,
5,Wobot,ИКТ,Инструмент поиска по социальным медиа для бизнеса,September 2010,Электронная почта: mail@wobot.ru,"Юридический адрес: 127051, г. Москва, пл. Малая Сухаревская, д. 6, стр. 1
Фактический адрес: Москва, ул. Новоалексеевская, д.21, стр.1
Телефон: +7 (967) 2856 100, +7 (926) 2202 994","Сайт: http://wobot.ru/
Фейсбук: http://www.facebook.com/wobot.ru
Твиттер: https://twitter.com/ru_wobot","Демидов Андрей Владимирович
Полынов Александр Александрович
ОАО ""ИК РУСС-ИНВЕСТ""
ООО ""ФПИ РВК""
ООО ""Бранан""",13,"Роман Юдин - генеральный директор
Андрей Демидов - финансовый директор
Михаил Брусов - руководитель отдела продаж
Степан Вяльцев - директор по маркетингу",Нет данных,"ФПИ РВК, ИК ""РУСС-ИНВЕСТ"", 6 млн. рублей, январь 2012
Посевной фонд Microsoft, 2,4 млн. рублей, май 2011
Финансирование по программе ""Старт 11"" - 1-ый год
Государственный контракт № 8836р/14311 от 11.04.2011: 1 000 000 рублей",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,Wobot - инструмент поиска по социальным медиа для бизнеса,,"youscan.ru, webscan-global.com, Radian6","Победитель программы ""СТАРТ 11"" ФСР МП НТС
Портфельная компания ФПИ РВК
Резидент Сколково","Web Ready 2010 - полуфиналист (номинация ""Лучший стартап"")
Победитель HSE {10K} 2010","Выпускник бизнес-инкубатора НИУ ВШЭ
Выпускник Проектного бизнес-анкубатора МГТУ им. Баумана",Потребность в инвестициях: 36 млн. рублей,
6,"ООО ""Биостэн""",Живые системы,Разработчик универсальных эндоваскулярных имплантатов (стентов) со свойствами биодеградации,Декабрь 2010 г.,"Простякова Анна Игоревна:
Тел.: +7 (495) 336-06-00
Эл. почта: profan@list.ru","Юридический адрес: 105005,Москва,Бауманская 2-я ул.,д. 5","http://www.stentex.ru/
http://biosten.ru/","ООО ""Стентекс""",1-10,"Лукьянов Егор Владимирович - генеральный директор
Алексей Другов - заместитель генерального директора
Простякова Анна Игоревна - младший научный сотрудник ИБХ РАН",0,"Грант Фонда ""Сколково"" - 68,7 млн. рублей (грантовое соглашение №18 от 28.06.2011)
Запланированное финансирование:
Кредит ГК ""Внешэкономбанк"" - свыше 4 млрд. рублей (срок кредита - 7 лет)
Инвестиции ""Ренова"" - 1,5 млрд. рублей",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,Компания разрабатывает кардиостенты,"НИОКР: ИБХ РАН (Договор № 01/12/11 от 09.12.2011 г. между ИБХ РАН и ООО «Биостэн»)
Домен: ЗАО ""Региональный сетевой информационный центр""
Другие участники проекта:
МГТУ им. Баумана
Tel-Aviv University (Израиль)","Johnson&Johnson Boston Scientific
Medtronic","Резидент Сколково
Получатель гранта Фонда ""Сколково""",Не участвовали,Резидент Технопарка ИБХ РАН,Инвестиции не привлекаются,
7,"ООО ""Инноград Пущино""",Живые системы,Разработчик биотехнологии обнаружения и нейтрализации особо опасных инфекционных агентов,Декабрь 2010 г.,"Белецкий Игорь Петрович:
Тел.: (4967) 73-91-52
Хаустов Сергей Анатольевич:
Тел.: (4967) 73-07-46","142290, Московская область, г. Пущино, ул. Институтская, д.7",www.psn.ru,ПНЦ РАН,1-10,"Белецкий Игорь Петрович - генеральный директор
Сергей Хаустов - исполнительный директор",,"Грант Фонда ""Сколково"" - 220 млн. рублей (грантовое соглашение №9 от 27.12.2010)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,Компания разрабатывает системы для обнаружения и нейтрализации инфекций в воздухе,"Участники проекта:
George Mason University (США)
Пущинский научный центр РАН (ИТЭБ РАН, ИБФМ РАН, ФИБХ РАН, ИБП РАН)
ОАО «Арти-Завод»",,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",Не участвовали,Компания Пущинского научного центра РАН,Инвестиции не привлекаются,
8,"ООО ""ОнкоМакс""",Живые системы,Разработка и коммерциализация инновационного таргетного препарата для лечения почечно-клеточного рака,Июнь 2010 г.,,"119180,Россия, Москва, ул. Большая Якиманка, 1.  тел./факс +7(495)411-69-92",www.oncomax.ru,"ООО ""Максвелл Биотех Групп"",  ООО ""ФПИ РВК""",2,"Завелева Элина Владимировна - генеральный директор
Тимофеев Илья Валерьевич - директор по науке",(-)1 269 тыс. руб. ,"Грант Сколково - 30 млн. рублей (грантовое соглашение № 39 от 01.11.2011)
Два транша инвестиций от фонда ""Маквелл Биотех""",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,OM-RCA-01 - моноклональное антитело для лечения рака почки,"Партнеры проекта:
Институт токсикологии Федерального медико-биологического агентства России, Российский Онкологический научный центр им. Н.Н. Блохина, ГосНИИгенетика, Charles River, GBI","Торизел (Pierre Fabre Medicament Production, Франция), Афинитор (Novartis), Вотриент (Glaxo Wellcome, Испания), Нексавар (BAYER), Сутент (PFIZER), Авастин + Inf-a (F.Hoffmann-La Roche Ltd.)","Резидент Сколково
Получатель гранта Фонда ""Сколково""
Портфельная компания ФПИ РВК
Портфельная компания фонда ""Максвелл Биотех""","Номинант премии ""Форсайт здоровья"" как лучшая R&D-компания 2011 года
Участник премии Investor Awards 2012 в номинации ""Прямые и венчурные инвестиции: сделка года""","Резидент Технопарка ""Сколково""",Инвестиции не привлекаются,
9,"ООО ""Научно-производственный центр ""Амфион""",Живые системы,Разработка новых полимерных материалов медико-биологического назначения,Апрель 2006 г.,E-mail:  info@amphio.ru,"125047, Россия, Москва, Миусская пл., д. 9, Телефон: +7(499)972-48-08, Факс: +7 (495) 609-29-64",www.amphio.ru,"Штильман Михаил Исаакович, Артюхов Александр Анатольевич, Кусков Андрей Николаевич",11-50,"Кусков Андрей Николаевич - генеральный директор
Артюхов Александр Анатольевич - технический директор
Штильман Михаил Исаакович - нучный консультант",Нет данных,"Грант Сколково - 1,5 млн. рублей (грантовое соглашение № АМ-1811 от 18.12.2011)
Победитель конкурса Роснауки: сумма госконтракта - 2 000 000 рублей (контракт от 04.06.2009)
Победитель конкурса Роснауки: сумма госконтракта - 2 500 000 рублей (контракт от 20.10.2008)
Победитель ""Старт-06"": сумма контракта - 750 000 рублей (контракт от 29.06.2006)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"Раневое покрытие «ММ-Гель-Р»
имплантат хирургический «ММ-Гель-Ф»
Фитоактивные полимеры
Иммуностимулирующие полимеры",Компания сотрудничает с Учебно-научным центром «Биоматериалы» РХТУ им. Д.И.Менделеева,"RTP Pharma Inc.
ООО ""Научная компания ""ФЛАМЕНА""","Резидент Сколково
Получатель гранта Фонда ""Сколково""","Александр Артюхов - Победитель ""У.М.Н.И.К. - 2007""
Победитель ""Старт-06""
Победитель конкурса Роснауки (в 2008-2009 гг.)",Не принимали,Инвестиции не привлекаются,
10,"ООО ""Квантум Фармасьютикалс""",Живые системы,"Разработчик противовирусных препаратов на основе ингибирования матричных протеинов
Компанией создана компьютерная технология молекулярного моделирования для разработки новых лекарств",Февраль 2003 г.,Эл. почта: peter.fedichev@gmail.com; andrei.vinnik@q-pharm.com; office@q-pharm.com,"Россия, Москва, ул.Космонавта Волкова, д. 6А, Телефон: +7 (499)156-15-61","www.q-pharm.com
www.linkedin.com/companies/440065/Quantum+Pharmaceuticals
https://plus.google.com/114000819783521843922/
https://twitter.com/fedichev","Федичев Петр Олегович, Винник Андрей Александрович, Нестерук Владимир Викторович, Холин Максим Николаевич, ОАО ""Валента Фарм""",21,"Винник Андрей Александрович -генеральный директор
Петр Федичев - директор по исследованиям
Максим Холин - директор по развитию и юридическим вопросам
Леонид Меньшиков - руководитель Департамета теории
Евгений Гетманцев - ведущий разработчик ПО","1000 руб. (2004)
0 руб (2005)","Грант Сколково - 61 млн. рублей (грантовое соглашение № 19 от 15.07.2011)
Апрель 2012: ОАО ""Валента Фарм"" - 3 500 000 рублей
2011: частные инвесторы - 57,5 млн. рублей",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"Компания разрабатывает собственные лекарственные кандидаты
Создана компьютерная технология молекулярного моделирования для разработки новых лекарств","Партнеры: InterBioScreen (проект QuantumLead); Retrovirox (HIV gp120); Chembridge, Retrovirox, Вкучуд University College of Medicine (HIV MA); National Institute of Allergy and Infectious Deseases, Минпромторг России, St. Jude Chirdren's Research Hospital (M1, Nucleoprotein inhibitors) ","Vertex, BMS","Резидент Сколково
Получатель гранта Фонда ""Сколково""",Не участвовали,Не участвовали,Привлекаются инвестиции в размере 250 млн. рублей,
