Абхазия,Республика Абхазия
Австралия,
Австрия,Австрийская Республика
Азербайджан,Республика Азербайджан
Албания,Республика Албания
Алжир,Алжирская Народная Демократическая Республика
Американское Самоа,
Ангилья,
Ангола,Республика Ангола
Андорра,Княжество Андорра
Антарктида,
Антигуа и Барбуда,
Аргентина,Аргентинская Республика
Армения,Республика Армения
Аруба,
Афганистан,Переходное Исламское Государство Афганистан
Багамы,Содружество Багамы
Бангладеш,Народная Республика Бангладеш
Барбадос,
Бахрейн,Королевство Бахрейн
Беларусь,Республика Беларусь
Белиз,
Бельгия,Королевство Бельгии
Бенин,Республика Бенин
Бермуды,
Болгария,Республика Болгария
"Боливия, Многонациональное Государство",Многонациональное Государство Боливия
"Бонэйр, Синт-Эстатиус и Саба",
Босния и Герцеговина,
Ботсвана,Республика Ботсвана
Бразилия,Федеративная Республика Бразилия
Британская Территория в Индийском Океане,
Бруней-Даруссалам,
Буркина-Фасо,
Бурунди,Республика Бурунди
Бутан,Королевство Бутан
Вануату,Республика Вануату
Венгрия,Венгерская Республика
Венесуэла Боливарианская Республика,Боливарианская Республика Венесуэла
"Виргинские Острова, Британские",Британские Виргинские острова
"Виргинские Острова, США",Виргинские острова Соединенных Штатов
Тимор-Лесте,Демократическая Республика Тимор-Лесте
Вьетнам,Социалистическая Республика Вьетнам
Габон,Габонская Республика
Гаити,Республика Гаити
Гайана,Республика Гайана
Гамбия,Республика Гамбия
Гана,Республика Гана
Гваделупа,
Гватемала,Республика Гватемала
Гвинея,Гвинейская Республика
Гвинея-Бисау,Республика Гвинея-Бисау
Германия,Федеративная Республика Германия
Гернси,
Гибралтар,
Гондурас,Республика Гондурас
Гонконг,Специальный административный регион Китая Гонконг
Гренада,
Гренландия,
Греция,Греческая Республика
Грузия,
Гуам,
Дания,Королевство Дания
Джерси,
Джибути,Республика Джибути
Доминика,Содружество Доминики
Доминиканская Республика,
Египет,Арабская Республика Египет
Замбия,Республика Замбия
Западная Сахара,
Зимбабве,Республика Зимбабве
Израиль,Государство Израиль
Индия,Республика Индия
Индонезия,Республика Индонезия
Иордания,Иорданское Хашимитское Королевство
Ирак,Республика Ирак
"Иран, Исламская Республика",Исламская Республика Иран
Ирландия,
Исландия,Республика Исландия
Испания,Королевство Испания
Италия,Итальянская Республика
Йемен,Йеменская Республика
Кабо-Верде,Республика Кабо-Верде
Казахстан,Республика Казахстан
Камбоджа,Королевство Камбоджа
Камерун,Республика Камерун
Канада,
Катар,Государство Катар
Кения,Республика Кения
Кипр,Республика Кипр
